square,model,seed,MAE,RMSE,MAPE_%,train_seconds
5161,LSTM,42,100.368,161.335,8.927,24.111
5161,LSTM,1,115.066,184.163,9.504,19.942
5161,LSTM,2,113.97,186.718,9.68,20.062
5161,TCN,42,93.698,143.482,8.696,169.054
5161,TCN,1,108.118,167.886,10.296,129.857
5161,TCN,2,124.493,198.407,10.238,95.256
5059,LSTM,42,87.468,125.078,8.4,12.003
5059,LSTM,1,86.69,125.77,8.097,15.954
5059,LSTM,2,79.14,113.109,7.681,21.437
5059,TCN,42,88.718,124.178,8.777,88.818
5059,TCN,1,101.922,142.666,9.92,68.15
5059,TCN,2,76.619,110.12,7.751,136.985
5259,LSTM,42,73.284,109.623,7.639,23.298
5259,LSTM,1,74.143,110.017,7.908,21.531
5259,LSTM,2,72.395,105.255,8.098,16.784
5259,TCN,42,79.393,118.945,8.493,107.529
5259,TCN,1,97.256,141.924,9.783,107.732
5259,TCN,2,72.363,103.448,8.15,167.199
