square,model,seed,MAE,RMSE,MAPE_%,train_seconds,epochs_run,best_epoch,seconds_per_epoch,n_params,inference_week_mean_s,inference_week_std_s,inference_ms_per_step
5161,Persistence,,92.8019,134.8777,9.1943,0.0,,,,,0.0,0.0,0.0
5161,Seasonal naive (1 week),,300.7502,432.9547,28.9689,0.0,,,,,0.0,0.0,0.0
5161,SARIMAX-Fourier,,77.9084,118.2237,7.4371,25.516,,,,18.0,0.2157,0.0023,0.2139
5161,LSTM,42.0,114.4868,182.0262,9.8247,16.9401,57.0,47.0,0.2972,18753.0,0.0132,0.002,0.013
5161,LSTM,1.0,113.3351,174.5888,10.2488,17.0829,53.0,43.0,0.3223,18753.0,0.0132,0.002,0.0131
5161,LSTM,2.0,99.2229,152.4873,9.3034,23.8689,72.0,62.0,0.3315,18753.0,0.0106,0.0016,0.0105
5161,TCN,42.0,101.6536,153.5395,9.6917,161.5997,27.0,21.0,5.9852,35137.0,0.2132,0.0055,0.2115
5161,TCN,1.0,121.0086,181.2698,11.2191,115.4218,20.0,14.0,5.7711,35137.0,0.2229,0.0147,0.2211
5161,TCN,2.0,114.0644,177.6519,10.608,110.3138,19.0,13.0,5.806,35137.0,0.2748,0.0161,0.2726
5059,Persistence,,81.5169,114.375,7.9591,0.0,,,,,0.0,0.0,0.0
5059,Seasonal naive (1 week),,259.95,361.1204,25.7314,0.0,,,,,0.0,0.0,0.0
5059,SARIMAX-Fourier,,65.5503,94.8434,6.2612,25.1181,,,,18.0,0.2205,0.0032,0.2188
5059,LSTM,42.0,107.6775,156.271,9.6788,12.5527,39.0,29.0,0.3219,18753.0,0.0116,0.0019,0.0115
5059,LSTM,1.0,105.1587,152.8185,9.3178,16.1975,53.0,43.0,0.3056,18753.0,0.011,0.0015,0.0109
5059,LSTM,2.0,87.2634,126.9788,8.0086,22.8749,74.0,64.0,0.3091,18753.0,0.0143,0.0007,0.0142
5059,TCN,42.0,111.2368,161.7591,9.5301,95.1908,16.0,10.0,5.9494,35137.0,0.208,0.0051,0.2063
5059,TCN,1.0,91.2067,130.4166,8.5259,98.3594,17.0,11.0,5.7858,35137.0,0.2134,0.0046,0.2117
5059,TCN,2.0,90.0347,126.1381,9.1788,143.0624,25.0,19.0,5.7225,35137.0,0.2661,0.0196,0.264
5259,Persistence,,75.9675,109.5784,8.1148,0.0,,,,,0.0,0.0,0.0
5259,Seasonal naive (1 week),,210.241,289.4955,28.5632,0.0,,,,,0.0,0.0,0.0
5259,SARIMAX-Fourier,,67.0202,95.9974,7.1803,24.4847,,,,18.0,0.2144,0.0036,0.2127
5259,LSTM,42.0,75.2448,110.6841,8.0523,17.1345,56.0,46.0,0.306,18753.0,0.0151,0.0002,0.015
5259,LSTM,1.0,73.0177,105.8331,8.2992,16.3144,51.0,41.0,0.3199,18753.0,0.0107,0.0005,0.0106
5259,LSTM,2.0,73.7301,105.9071,8.2844,17.053,55.0,45.0,0.3101,18753.0,0.0101,0.0002,0.01
5259,TCN,42.0,79.9951,114.744,9.0718,65.7419,11.0,5.0,5.9765,35137.0,0.2147,0.0049,0.213
5259,TCN,1.0,80.6521,117.3259,8.811,123.3851,21.0,15.0,5.8755,35137.0,0.2317,0.0157,0.2299
5259,TCN,2.0,83.6377,121.2608,9.5168,89.2044,15.0,9.0,5.947,35137.0,0.2142,0.0132,0.2125
