square,model,seed,train_seconds,epochs_run,best_epoch,seconds_per_epoch,inference_week_mean_s,inference_week_std_s,inference_ms_per_step,n_params
5161,Persistence,,0.0,,,,0.0,0.0,0.0,
5161,Seasonal naive (1 week),,0.0,,,,0.0,0.0,0.0,
5161,SARIMAX-Fourier,,25.516,,,,0.2157,0.0023,0.2139,18.0
5161,LSTM,42.0,16.9401,57.0,47.0,0.2972,0.0132,0.002,0.013,18753.0
5161,LSTM,1.0,17.0829,53.0,43.0,0.3223,0.0132,0.002,0.0131,18753.0
5161,LSTM,2.0,23.8689,72.0,62.0,0.3315,0.0106,0.0016,0.0105,18753.0
5161,TCN,42.0,161.5997,27.0,21.0,5.9852,0.2132,0.0055,0.2115,35137.0
5161,TCN,1.0,115.4218,20.0,14.0,5.7711,0.2229,0.0147,0.2211,35137.0
5161,TCN,2.0,110.3138,19.0,13.0,5.806,0.2748,0.0161,0.2726,35137.0
5059,Persistence,,0.0,,,,0.0,0.0,0.0,
5059,Seasonal naive (1 week),,0.0,,,,0.0,0.0,0.0,
5059,SARIMAX-Fourier,,25.1181,,,,0.2205,0.0032,0.2188,18.0
5059,LSTM,42.0,12.5527,39.0,29.0,0.3219,0.0116,0.0019,0.0115,18753.0
5059,LSTM,1.0,16.1975,53.0,43.0,0.3056,0.011,0.0015,0.0109,18753.0
5059,LSTM,2.0,22.8749,74.0,64.0,0.3091,0.0143,0.0007,0.0142,18753.0
5059,TCN,42.0,95.1908,16.0,10.0,5.9494,0.208,0.0051,0.2063,35137.0
5059,TCN,1.0,98.3594,17.0,11.0,5.7858,0.2134,0.0046,0.2117,35137.0
5059,TCN,2.0,143.0624,25.0,19.0,5.7225,0.2661,0.0196,0.264,35137.0
5259,Persistence,,0.0,,,,0.0,0.0,0.0,
5259,Seasonal naive (1 week),,0.0,,,,0.0,0.0,0.0,
5259,SARIMAX-Fourier,,24.4847,,,,0.2144,0.0036,0.2127,18.0
5259,LSTM,42.0,17.1345,56.0,46.0,0.306,0.0151,0.0002,0.015,18753.0
5259,LSTM,1.0,16.3144,51.0,41.0,0.3199,0.0107,0.0005,0.0106,18753.0
5259,LSTM,2.0,17.053,55.0,45.0,0.3101,0.0101,0.0002,0.01,18753.0
5259,TCN,42.0,65.7419,11.0,5.0,5.9765,0.2147,0.0049,0.213,35137.0
5259,TCN,1.0,123.3851,21.0,15.0,5.8755,0.2317,0.0157,0.2299,35137.0
5259,TCN,2.0,89.2044,15.0,9.0,5.947,0.2142,0.0132,0.2125,35137.0
